Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
0,Sun Dec 10 00:10:20 +0000 2017,0,1,0,59,@CNN
0.25,Sun Dec 10 00:10:19 +0000 2017,0.079,0.787,0.135,60,@CNN
0,Sun Dec 10 00:10:19 +0000 2017,0,1,0,61,@CNN
0,Sun Dec 10 00:10:18 +0000 2017,0,1,0,62,@CNN
-0.4767,Sun Dec 10 00:10:18 +0000 2017,0.14,0.86,0,63,@CNN
0,Sun Dec 10 00:10:17 +0000 2017,0,1,0,64,@CNN
-0.1531,Sun Dec 10 00:10:15 +0000 2017,0.144,0.741,0.116,65,@CNN
-0.1027,Sun Dec 10 00:10:14 +0000 2017,0.263,0.508,0.229,66,@CNN
0.4019,Sun Dec 10 00:10:14 +0000 2017,0.084,0.728,0.188,67,@CNN
-0.4303,Sun Dec 10 00:10:12 +0000 2017,0.322,0.678,0,68,@CNN
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,69,@CNN
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,70,@CNN
0.3182,Sun Dec 10 00:10:08 +0000 2017,0,0.859,0.141,71,@CNN
-0.34,Sun Dec 10 00:10:07 +0000 2017,0.21,0.664,0.126,72,@CNN
0,Sun Dec 10 00:10:07 +0000 2017,0,1,0,73,@CNN
0.4824,Sun Dec 10 00:10:07 +0000 2017,0.116,0.654,0.23,74,@CNN
0.5707,Sun Dec 10 00:10:06 +0000 2017,0,0.802,0.198,75,@CNN
0,Sun Dec 10 00:10:06 +0000 2017,0,1,0,76,@CNN
-0.5859,Sun Dec 10 00:10:05 +0000 2017,0.174,0.826,0,77,@CNN
-0.6705,Sun Dec 10 00:10:04 +0000 2017,0.176,0.824,0,78,@CNN
0.8519,Sun Dec 10 00:10:03 +0000 2017,0,0.646,0.354,79,@CNN
-0.3182,Sun Dec 10 00:10:02 +0000 2017,0.091,0.909,0,80,@CNN
-0.34,Sun Dec 10 00:10:01 +0000 2017,0.21,0.664,0.126,81,@CNN
-0.6369,Sun Dec 10 00:10:01 +0000 2017,0.257,0.743,0,82,@CNN
-0.1027,Sun Dec 10 00:10:00 +0000 2017,0.071,0.875,0.054,83,@CNN
-0.34,Sun Dec 10 00:10:00 +0000 2017,0.21,0.664,0.126,84,@CNN
-0.4215,Sun Dec 10 00:09:59 +0000 2017,0.149,0.851,0,85,@CNN
0.25,Sun Dec 10 00:09:59 +0000 2017,0.132,0.625,0.243,86,@CNN
0,Sun Dec 10 00:09:57 +0000 2017,0,1,0,87,@CNN
-0.4019,Sun Dec 10 00:09:57 +0000 2017,0.127,0.816,0.057,88,@CNN
-0.5848,Sun Dec 10 00:09:57 +0000 2017,0.387,0.613,0,89,@CNN
-0.843,Sun Dec 10 00:09:56 +0000 2017,0.335,0.665,0,90,@CNN
-0.34,Sun Dec 10 00:09:56 +0000 2017,0.21,0.664,0.126,91,@CNN
0,Sun Dec 10 00:09:55 +0000 2017,0,1,0,92,@CNN
0.6369,Sun Dec 10 00:09:55 +0000 2017,0,0.756,0.244,93,@CNN
0.4767,Sun Dec 10 00:09:55 +0000 2017,0,0.871,0.129,94,@CNN
-0.2732,Sun Dec 10 00:09:54 +0000 2017,0.1,0.9,0,95,@CNN
0,Sun Dec 10 00:09:54 +0000 2017,0,1,0,96,@CNN
0,Sun Dec 10 00:09:54 +0000 2017,0,1,0,97,@CNN
0,Sun Dec 10 00:09:53 +0000 2017,0,1,0,98,@CNN
-0.34,Sun Dec 10 00:09:52 +0000 2017,0.138,0.862,0,99,@CNN
0.4939,Sun Dec 10 00:09:52 +0000 2017,0,0.824,0.176,100,@CNN
0.1901,Sun Dec 10 00:10:52 +0000 2017,0.095,0.747,0.158,1,@FoxNews
0.765,Sun Dec 10 00:10:52 +0000 2017,0,0.548,0.452,2,@FoxNews
0.3612,Sun Dec 10 00:10:52 +0000 2017,0,0.8,0.2,3,@FoxNews
0,Sun Dec 10 00:10:52 +0000 2017,0,1,0,4,@FoxNews
0,Sun Dec 10 00:10:51 +0000 2017,0,1,0,5,@FoxNews
-0.1007,Sun Dec 10 00:10:51 +0000 2017,0.138,0.743,0.119,6,@FoxNews
-0.25,Sun Dec 10 00:10:50 +0000 2017,0.175,0.7,0.125,7,@FoxNews
0.5423,Sun Dec 10 00:10:49 +0000 2017,0,0.741,0.259,8,@FoxNews
0.5267,Sun Dec 10 00:10:48 +0000 2017,0,0.825,0.175,9,@FoxNews
-0.34,Sun Dec 10 00:10:48 +0000 2017,0.21,0.664,0.126,10,@FoxNews
-0.3412,Sun Dec 10 00:10:47 +0000 2017,0.085,0.915,0,11,@FoxNews
0,Sun Dec 10 00:10:47 +0000 2017,0,1,0,12,@FoxNews
-0.3885,Sun Dec 10 00:10:46 +0000 2017,0.291,0.525,0.184,13,@FoxNews
-0.3182,Sun Dec 10 00:10:46 +0000 2017,0.095,0.905,0,14,@FoxNews
0.6124,Sun Dec 10 00:10:46 +0000 2017,0,0.778,0.222,15,@FoxNews
-0.2732,Sun Dec 10 00:10:45 +0000 2017,0.189,0.811,0,16,@FoxNews
0.3818,Sun Dec 10 00:10:44 +0000 2017,0,0.833,0.167,17,@FoxNews
-0.5699,Sun Dec 10 00:10:44 +0000 2017,0.263,0.641,0.096,18,@FoxNews
-0.8271,Sun Dec 10 00:10:44 +0000 2017,0.49,0.51,0,19,@FoxNews
0.3252,Sun Dec 10 00:10:44 +0000 2017,0,0.873,0.127,20,@FoxNews
-0.9022,Sun Dec 10 00:10:44 +0000 2017,0.381,0.619,0,21,@FoxNews
0.4389,Sun Dec 10 00:10:43 +0000 2017,0,0.829,0.171,22,@FoxNews
0.1027,Sun Dec 10 00:10:42 +0000 2017,0,0.924,0.076,23,@FoxNews
0.5106,Sun Dec 10 00:10:42 +0000 2017,0,0.87,0.13,24,@FoxNews
-0.8625,Sun Dec 10 00:10:42 +0000 2017,0.348,0.652,0,25,@FoxNews
-0.3089,Sun Dec 10 00:10:42 +0000 2017,0.158,0.842,0,26,@FoxNews
-0.1725,Sun Dec 10 00:10:42 +0000 2017,0.176,0.679,0.145,27,@FoxNews
0,Sun Dec 10 00:10:41 +0000 2017,0,1,0,28,@FoxNews
-0.1027,Sun Dec 10 00:10:41 +0000 2017,0.104,0.896,0,29,@FoxNews
-0.3182,Sun Dec 10 00:10:41 +0000 2017,0.095,0.905,0,30,@FoxNews
-0.2732,Sun Dec 10 00:10:40 +0000 2017,0.197,0.657,0.146,31,@FoxNews
0.7935,Sun Dec 10 00:10:39 +0000 2017,0,0.68,0.32,32,@FoxNews
0,Sun Dec 10 00:10:38 +0000 2017,0,1,0,33,@FoxNews
0.0772,Sun Dec 10 00:10:38 +0000 2017,0,0.909,0.091,34,@FoxNews
0.4019,Sun Dec 10 00:10:37 +0000 2017,0,0.748,0.252,35,@FoxNews
-0.6908,Sun Dec 10 00:10:37 +0000 2017,0.251,0.749,0,36,@FoxNews
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,37,@FoxNews
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,38,@FoxNews
-0.7269,Sun Dec 10 00:10:36 +0000 2017,0.289,0.711,0,39,@FoxNews
0.3595,Sun Dec 10 00:10:36 +0000 2017,0,0.878,0.122,40,@FoxNews
-0.6908,Sun Dec 10 00:10:36 +0000 2017,0.251,0.749,0,41,@FoxNews
0.4404,Sun Dec 10 00:10:35 +0000 2017,0,0.756,0.244,42,@FoxNews
0.4191,Sun Dec 10 00:10:34 +0000 2017,0.104,0.661,0.235,43,@FoxNews
0.4215,Sun Dec 10 00:10:34 +0000 2017,0,0.865,0.135,44,@FoxNews
0.4588,Sun Dec 10 00:10:33 +0000 2017,0.096,0.699,0.206,45,@FoxNews
0,Sun Dec 10 00:10:33 +0000 2017,0,1,0,46,@FoxNews
-0.5423,Sun Dec 10 00:10:32 +0000 2017,0.179,0.821,0,47,@FoxNews
0.296,Sun Dec 10 00:10:32 +0000 2017,0.093,0.733,0.173,48,@FoxNews
0,Sun Dec 10 00:10:30 +0000 2017,0,1,0,49,@FoxNews
0.4019,Sun Dec 10 00:10:30 +0000 2017,0,0.863,0.137,50,@FoxNews
-0.4215,Sun Dec 10 00:10:30 +0000 2017,0.189,0.811,0,51,@FoxNews
0.2075,Sun Dec 10 00:10:30 +0000 2017,0.127,0.677,0.196,52,@FoxNews
-0.6908,Sun Dec 10 00:10:29 +0000 2017,0.251,0.749,0,53,@FoxNews
0,Sun Dec 10 00:10:28 +0000 2017,0,1,0,54,@FoxNews
-0.8805,Sun Dec 10 00:10:27 +0000 2017,0.481,0.519,0,55,@FoxNews
-0.4249,Sun Dec 10 00:10:27 +0000 2017,0.203,0.797,0,56,@FoxNews
-0.2263,Sun Dec 10 00:10:25 +0000 2017,0.18,0.688,0.132,57,@FoxNews
-0.2732,Sun Dec 10 00:10:25 +0000 2017,0.197,0.657,0.146,58,@FoxNews
0.1139,Sun Dec 10 00:10:25 +0000 2017,0.126,0.713,0.161,59,@FoxNews
0.4588,Sun Dec 10 00:10:25 +0000 2017,0.096,0.699,0.206,60,@FoxNews
0.34,Sun Dec 10 00:10:24 +0000 2017,0.115,0.664,0.221,61,@FoxNews
-0.4588,Sun Dec 10 00:10:24 +0000 2017,0.176,0.824,0,62,@FoxNews
0,Sun Dec 10 00:10:23 +0000 2017,0,1,0,63,@FoxNews
0,Sun Dec 10 00:10:22 +0000 2017,0,1,0,64,@FoxNews
-0.1779,Sun Dec 10 00:10:22 +0000 2017,0.195,0.649,0.157,65,@FoxNews
0,Sun Dec 10 00:10:21 +0000 2017,0,1,0,66,@FoxNews
0,Sun Dec 10 00:10:21 +0000 2017,0,1,0,67,@FoxNews
-0.6114,Sun Dec 10 00:10:20 +0000 2017,0.25,0.75,0,68,@FoxNews
-0.296,Sun Dec 10 00:10:19 +0000 2017,0.091,0.909,0,69,@FoxNews
0,Sun Dec 10 00:10:18 +0000 2017,0,1,0,70,@FoxNews
-0.7003,Sun Dec 10 00:10:18 +0000 2017,0.345,0.655,0,71,@FoxNews
-0.4019,Sun Dec 10 00:10:17 +0000 2017,0.13,0.87,0,72,@FoxNews
0.4404,Sun Dec 10 00:10:17 +0000 2017,0,0.828,0.172,73,@FoxNews
0.8271,Sun Dec 10 00:10:17 +0000 2017,0,0.446,0.554,74,@FoxNews
-0.1531,Sun Dec 10 00:10:15 +0000 2017,0.119,0.782,0.099,75,@FoxNews
0.9166,Sun Dec 10 00:10:15 +0000 2017,0,0.615,0.385,76,@FoxNews
-0.0444,Sun Dec 10 00:10:15 +0000 2017,0.123,0.761,0.116,77,@FoxNews
0.5423,Sun Dec 10 00:10:15 +0000 2017,0,0.78,0.22,78,@FoxNews
0.6808,Sun Dec 10 00:10:14 +0000 2017,0.104,0.586,0.311,79,@FoxNews
0.2584,Sun Dec 10 00:10:12 +0000 2017,0,0.88,0.12,80,@FoxNews
0.4767,Sun Dec 10 00:10:12 +0000 2017,0,0.721,0.279,81,@FoxNews
0,Sun Dec 10 00:10:12 +0000 2017,0,1,0,82,@FoxNews
-0.3412,Sun Dec 10 00:10:10 +0000 2017,0.085,0.915,0,83,@FoxNews
0.8475,Sun Dec 10 00:10:10 +0000 2017,0,0.379,0.621,84,@FoxNews
0,Sun Dec 10 00:10:09 +0000 2017,0,1,0,85,@FoxNews
0.0772,Sun Dec 10 00:10:09 +0000 2017,0,0.947,0.053,86,@FoxNews
-0.296,Sun Dec 10 00:10:09 +0000 2017,0.091,0.909,0,87,@FoxNews
-0.3089,Sun Dec 10 00:10:09 +0000 2017,0.089,0.911,0,88,@FoxNews
0.1027,Sun Dec 10 00:10:09 +0000 2017,0.106,0.769,0.125,89,@FoxNews
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,90,@FoxNews
-0.3182,Sun Dec 10 00:10:08 +0000 2017,0.095,0.905,0,91,@FoxNews
-0.3818,Sun Dec 10 00:10:08 +0000 2017,0.126,0.874,0,92,@FoxNews
0,Sun Dec 10 00:10:07 +0000 2017,0,1,0,93,@FoxNews
-0.34,Sun Dec 10 00:10:07 +0000 2017,0.21,0.664,0.126,94,@FoxNews
0.7804,Sun Dec 10 00:10:07 +0000 2017,0.078,0.62,0.301,95,@FoxNews
0.3182,Sun Dec 10 00:10:07 +0000 2017,0.165,0.631,0.204,96,@FoxNews
0,Sun Dec 10 00:10:06 +0000 2017,0,1,0,97,@FoxNews
-0.8343,Sun Dec 10 00:10:06 +0000 2017,0.316,0.684,0,98,@FoxNews
-0.5423,Sun Dec 10 00:10:05 +0000 2017,0.179,0.821,0,99,@FoxNews
0.2023,Sun Dec 10 00:10:05 +0000 2017,0.097,0.776,0.127,100,@FoxNews
0.6369,Sun Dec 10 00:10:51 +0000 2017,0,0.741,0.259,1,@nytimes
0,Sun Dec 10 00:10:48 +0000 2017,0,1,0,2,@nytimes
-0.5423,Sun Dec 10 00:10:46 +0000 2017,0.2,0.8,0,3,@nytimes
0,Sun Dec 10 00:10:46 +0000 2017,0,1,0,4,@nytimes
0.1779,Sun Dec 10 00:10:45 +0000 2017,0.104,0.758,0.137,5,@nytimes
0.6697,Sun Dec 10 00:10:42 +0000 2017,0,0.824,0.176,6,@nytimes
0,Sun Dec 10 00:10:41 +0000 2017,0,1,0,7,@nytimes
0,Sun Dec 10 00:10:41 +0000 2017,0,1,0,8,@nytimes
0,Sun Dec 10 00:10:40 +0000 2017,0,1,0,9,@nytimes
0.4588,Sun Dec 10 00:10:40 +0000 2017,0,0.75,0.25,10,@nytimes
0,Sun Dec 10 00:10:40 +0000 2017,0,1,0,11,@nytimes
0.3818,Sun Dec 10 00:10:39 +0000 2017,0,0.816,0.184,12,@nytimes
-0.5719,Sun Dec 10 00:10:39 +0000 2017,0.236,0.764,0,13,@nytimes
-0.1655,Sun Dec 10 00:10:39 +0000 2017,0.08,0.92,0,14,@nytimes
0,Sun Dec 10 00:10:35 +0000 2017,0,1,0,15,@nytimes
-0.0258,Sun Dec 10 00:10:35 +0000 2017,0.108,0.788,0.104,16,@nytimes
0.4767,Sun Dec 10 00:10:33 +0000 2017,0,0.617,0.383,17,@nytimes
0,Sun Dec 10 00:10:30 +0000 2017,0,1,0,18,@nytimes
0.5267,Sun Dec 10 00:10:28 +0000 2017,0.106,0.625,0.269,19,@nytimes
0.7845,Sun Dec 10 00:10:27 +0000 2017,0,0.669,0.331,20,@nytimes
-0.296,Sun Dec 10 00:10:27 +0000 2017,0.306,0.694,0,21,@nytimes
-0.2732,Sun Dec 10 00:10:27 +0000 2017,0.1,0.9,0,22,@nytimes
0,Sun Dec 10 00:10:26 +0000 2017,0,1,0,23,@nytimes
-0.2782,Sun Dec 10 00:10:26 +0000 2017,0.124,0.876,0,24,@nytimes
0,Sun Dec 10 00:10:25 +0000 2017,0,1,0,25,@nytimes
0.5812,Sun Dec 10 00:10:24 +0000 2017,0,0.456,0.544,26,@nytimes
-0.4767,Sun Dec 10 00:10:23 +0000 2017,0.171,0.829,0,27,@nytimes
-0.0258,Sun Dec 10 00:10:18 +0000 2017,0.108,0.788,0.104,28,@nytimes
-0.6908,Sun Dec 10 00:10:16 +0000 2017,0.384,0.486,0.13,29,@nytimes
0,Sun Dec 10 00:10:16 +0000 2017,0,1,0,30,@nytimes
0,Sun Dec 10 00:10:14 +0000 2017,0,1,0,31,@nytimes
0.2584,Sun Dec 10 00:10:14 +0000 2017,0,0.912,0.088,32,@nytimes
0,Sun Dec 10 00:10:14 +0000 2017,0,1,0,33,@nytimes
0,Sun Dec 10 00:10:14 +0000 2017,0,1,0,34,@nytimes
0,Sun Dec 10 00:10:12 +0000 2017,0,1,0,35,@nytimes
0,Sun Dec 10 00:10:12 +0000 2017,0,1,0,36,@nytimes
0.2584,Sun Dec 10 00:10:11 +0000 2017,0,0.912,0.088,37,@nytimes
0.2584,Sun Dec 10 00:10:10 +0000 2017,0,0.912,0.088,38,@nytimes
-0.1779,Sun Dec 10 00:10:08 +0000 2017,0.082,0.918,0,39,@nytimes
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,40,@nytimes
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,41,@nytimes
0,Sun Dec 10 00:10:07 +0000 2017,0,1,0,42,@nytimes
-0.5255,Sun Dec 10 00:10:06 +0000 2017,0.31,0.541,0.149,43,@nytimes
-0.0258,Sun Dec 10 00:10:04 +0000 2017,0.108,0.788,0.104,44,@nytimes
0.6369,Sun Dec 10 00:10:04 +0000 2017,0,0.873,0.127,45,@nytimes
0,Sun Dec 10 00:10:04 +0000 2017,0,1,0,46,@nytimes
0,Sun Dec 10 00:10:03 +0000 2017,0,1,0,47,@nytimes
0,Sun Dec 10 00:10:02 +0000 2017,0,1,0,48,@nytimes
0.69,Sun Dec 10 00:10:01 +0000 2017,0,0.513,0.487,49,@nytimes
0.25,Sun Dec 10 00:09:59 +0000 2017,0.132,0.625,0.243,50,@nytimes
0,Sun Dec 10 00:09:57 +0000 2017,0,1,0,51,@nytimes
0.2584,Sun Dec 10 00:09:56 +0000 2017,0,0.912,0.088,52,@nytimes
0.4588,Sun Dec 10 00:09:53 +0000 2017,0,0.727,0.273,53,@nytimes
0.2584,Sun Dec 10 00:09:52 +0000 2017,0,0.912,0.088,54,@nytimes
-0.4588,Sun Dec 10 00:09:51 +0000 2017,0.25,0.75,0,55,@nytimes
0.3612,Sun Dec 10 00:09:50 +0000 2017,0,0.615,0.385,56,@nytimes
0.1298,Sun Dec 10 00:09:50 +0000 2017,0.107,0.754,0.139,57,@nytimes
0,Sun Dec 10 00:09:49 +0000 2017,0,1,0,58,@nytimes
-0.0258,Sun Dec 10 00:09:48 +0000 2017,0.108,0.788,0.104,59,@nytimes
0.2584,Sun Dec 10 00:09:46 +0000 2017,0,0.912,0.088,60,@nytimes
0.2584,Sun Dec 10 00:09:46 +0000 2017,0,0.912,0.088,61,@nytimes
0.5859,Sun Dec 10 00:09:46 +0000 2017,0.131,0.657,0.211,62,@nytimes
0.0516,Sun Dec 10 00:09:46 +0000 2017,0.195,0.593,0.212,63,@nytimes
-0.25,Sun Dec 10 00:09:46 +0000 2017,0.083,0.917,0,64,@nytimes
0,Sun Dec 10 00:09:44 +0000 2017,0,1,0,65,@nytimes
0,Sun Dec 10 00:09:44 +0000 2017,0,1,0,66,@nytimes
-0.3612,Sun Dec 10 00:09:43 +0000 2017,0.179,0.821,0,67,@nytimes
0.4116,Sun Dec 10 00:09:42 +0000 2017,0.091,0.692,0.217,68,@nytimes
-0.296,Sun Dec 10 00:09:39 +0000 2017,0.18,0.82,0,69,@nytimes
0.2584,Sun Dec 10 00:09:35 +0000 2017,0,0.912,0.088,70,@nytimes
-0.128,Sun Dec 10 00:09:31 +0000 2017,0.251,0.569,0.18,71,@nytimes
-0.5423,Sun Dec 10 00:09:29 +0000 2017,0.163,0.837,0,72,@nytimes
-0.7227,Sun Dec 10 00:09:28 +0000 2017,0.281,0.719,0,73,@nytimes
-0.5423,Sun Dec 10 00:09:28 +0000 2017,0.2,0.8,0,74,@nytimes
0,Sun Dec 10 00:09:27 +0000 2017,0,1,0,75,@nytimes
0.2584,Sun Dec 10 00:09:26 +0000 2017,0,0.912,0.088,76,@nytimes
-0.6597,Sun Dec 10 00:09:26 +0000 2017,0.216,0.784,0,77,@nytimes
0,Sun Dec 10 00:09:25 +0000 2017,0,1,0,78,@nytimes
0,Sun Dec 10 00:09:24 +0000 2017,0,1,0,79,@nytimes
-0.0258,Sun Dec 10 00:09:23 +0000 2017,0.108,0.788,0.104,80,@nytimes
-0.3818,Sun Dec 10 00:09:23 +0000 2017,0.146,0.854,0,81,@nytimes
0.4404,Sun Dec 10 00:09:22 +0000 2017,0.096,0.66,0.244,82,@nytimes
-0.0258,Sun Dec 10 00:09:22 +0000 2017,0.108,0.788,0.104,83,@nytimes
0.2584,Sun Dec 10 00:09:21 +0000 2017,0,0.912,0.088,84,@nytimes
-0.1189,Sun Dec 10 00:09:20 +0000 2017,0.138,0.744,0.118,85,@nytimes
0,Sun Dec 10 00:09:20 +0000 2017,0,1,0,86,@nytimes
-0.7845,Sun Dec 10 00:09:19 +0000 2017,0.305,0.695,0,87,@nytimes
0.6369,Sun Dec 10 00:09:19 +0000 2017,0,0.873,0.127,88,@nytimes
0.2584,Sun Dec 10 00:09:16 +0000 2017,0,0.912,0.088,89,@nytimes
0,Sun Dec 10 00:09:15 +0000 2017,0,1,0,90,@nytimes
-0.8591,Sun Dec 10 00:09:13 +0000 2017,0.333,0.667,0,91,@nytimes
-0.8356,Sun Dec 10 00:09:12 +0000 2017,0.314,0.602,0.084,92,@nytimes
0,Sun Dec 10 00:09:09 +0000 2017,0,1,0,93,@nytimes
-0.4466,Sun Dec 10 00:09:08 +0000 2017,0.155,0.845,0,94,@nytimes
-0.5423,Sun Dec 10 00:09:08 +0000 2017,0.2,0.8,0,95,@nytimes
0.5267,Sun Dec 10 00:09:08 +0000 2017,0,0.833,0.167,96,@nytimes
0,Sun Dec 10 00:09:05 +0000 2017,0,1,0,97,@nytimes
0,Sun Dec 10 00:09:04 +0000 2017,0,1,0,98,@nytimes
0.0772,Sun Dec 10 00:09:03 +0000 2017,0.172,0.64,0.187,99,@nytimes
-0.25,Sun Dec 10 00:09:00 +0000 2017,0.083,0.917,0,100,@nytimes